CONCAT,Model,AMT,BHP Material,BHP Description,BHP Location,CONCAT2,
16M1361 - WATER PUMP-00 - (NONE),16M,1361 - WATER PUMP-00 - (NONE),10627361,"PUMP ASSY,WATER,REMAN,CAT 10R2129",,16M10627361,
16M1052 - TURBOCHARGER-00 - (NONE),16M,1052 - TURBOCHARGER-00 - (NONE),10880518,"TURBOCHARGER GRP,REMAN,CAT 10R3597",,16M10880518,
16M1290 - UNIT INJECTOR-00 - (NONE),16M,1290 - UNIT INJECTOR-00 - (NONE),10883575,"INJECTOR GRP,FUEL,REMAN,CAT 10R3262",,16M10883575,
16M1000 - ENGINE-00 - (NONE),16M,1000 - ENGINE-00 - (NONE),10524586,"ENGINE ASSY,CAT 10R9966",,16M10524586,
183108 - PUMP DRIVE GRP-00 - (NONE),18,3108 - PUMP DRIVE GRP-00 - (NONE),10638279,"PUMP GRP,REMAN,CAT 20R1524",,1810638279,
181405 - ALTERNATOR-00 - (NONE),18,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,1810883555,
181290 - UNIT INJECTOR-00 - (NONE),18,1290 - UNIT INJECTOR-00 - (NONE),10883575,"INJECTOR GRP,FUEL,REMAN,CAT 10R3262",,1810883575,
181052 - TURBOCHARGER-00 - (NONE),18,1052 - TURBOCHARGER-00 - (NONE),11156116,"TURBOCHARGER GRP,REMAN,CAT 20R3693",,1811156116,
185207 - CIRCLE DRIVE-00 - (NONE),18,5207 - CIRCLE DRIVE-00 - (NONE),10282751,"DRIVE GRP,CIRCLE,CAT 4827524",,1810282751,
185207 - CIRCLE DRIVE-00 - (NONE),18,5207 - CIRCLE DRIVE-00 - (NONE),10486624,"CIRCLE,CAT 3909853",,1810486624,
181000 - ENGINE-00 - (NONE),18,1000 - ENGINE-00 - (NONE),11409947,"ENGINE,COMPLETE,WESTRAC M5333203",,1811409947,
184313 - STEERING AXLE-FR - FRONT,18,4313 - STEERING AXLE-FR - FRONT,11409987,"AXLE,GRP,FRONT,WESTRAC M4746914",,1811409987,
184251 - SERVICE BRAKE-LF - LEFT FRONT,18,4251 - SERVICE BRAKE-LF - LEFT FRONT,11410016,"BRAKE,FRONT,WESTRAC M3810831",Front LH,1811410016Front LH,
184251 - SERVICE BRAKE-RF - RIGHT FRONT,18,4251 - SERVICE BRAKE-RF - RIGHT FRONT,11410016,"BRAKE,FRONT,WESTRAC M3810831",Front RH,1811410016Front RH,
183030 - TRANSMISSION-00 - (NONE),18,3030 - TRANSMISSION-00 - (NONE),11410024,"TRANSMISSION,WESTRAC M5700453",,1811410024,
184251 - SERVICE BRAKE-LR - LEFT REAR,18,4251 - SERVICE BRAKE-LR - LEFT REAR,11410053,"BRAKE,REAR,WESTRAC M3810832",Rear LH,1811410053Rear LH,
184251 - SERVICE BRAKE-RR - RIGHT REAR,18,4251 - SERVICE BRAKE-RR - RIGHT REAR,11410053,"BRAKE,REAR,WESTRAC M3810832",Rear RH,1811410053Rear RH,
18M31361 - WATER PUMP-00 - (NONE),18M3,1361 - WATER PUMP-00 - (NONE),10627361,"PUMP ASSY,WATER,REMAN,CAT 10R2129",,18M310627361,
18M31405 - ALTERNATOR-00 - (NONE),18M3,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,18M310883555,
18M35207 - CIRCLE DRIVE-00 - (NONE),18M3,5207 - CIRCLE DRIVE-00 - (NONE),10486624,"CIRCLE,CAT 3909853",,18M310486624,
18M33030 - TRANSMISSION-00 - (NONE),18M3,3030 - TRANSMISSION-00 - (NONE),11339502,"TRANSMISSION,SX,WESTRAC 3810675X",,18M311339502,
18M34251 - SERVICE BRAKE-RF - RIGHT FRONT,18M3,4251 - SERVICE BRAKE-RF - RIGHT FRONT,11410016,"BRAKE,FRONT,WESTRAC M3810831",Front RH,18M311410016Front RH,
18M34251 - SERVICE BRAKE-RR - RIGHT REAR,18M3,4251 - SERVICE BRAKE-RR - RIGHT REAR,11410053,"BRAKE,REAR,WESTRAC M3810832",Rear RH,18M311410053Rear RH,
18M33108 - PUMP DRIVE GRP-00 - (NONE),18M3,3108 - PUMP DRIVE GRP-00 - (NONE),10638279,"PUMP GRP,REMAN,CAT 20R1524",,18M310638279,
18M31290 - UNIT INJECTOR-00 - (NONE),18M3,1290 - UNIT INJECTOR-00 - (NONE),10883575,"INJECTOR GRP,FUEL,REMAN,CAT 10R3262",,18M310883575,
18M31052 - TURBOCHARGER-00 - (NONE),18M3,1052 - TURBOCHARGER-00 - (NONE),11156116,"TURBOCHARGER GRP,REMAN,CAT 20R3693",,18M311156116,
18M34006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,18M3,4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,11400191,"GRP,WHEEL & BRAKE,SX,CAT 20R9995",Front RH,18M311400191Front RH,
18M31000 - ENGINE-00 - (NONE),18M3,1000 - ENGINE-00 - (NONE),11409947,"ENGINE,COMPLETE,WESTRAC M5333203",,18M311409947,
245207 - CIRCLE DRIVE-FR - FRONT,24,5207 - CIRCLE DRIVE-FR - FRONT,11307975,"DRIVE,24 CIRCLE,SX,WESTRAC 4588755X",Front,2411307975Front,
245207 - CIRCLE DRIVE-RE - REAR,24,5207 - CIRCLE DRIVE-RE - REAR,11307975,"DRIVE,24 CIRCLE,SX,WESTRAC 4588755X",Rear,2411307975Rear,
244313 - STEERING AXLE-FR - FRONT,24,4313 - STEERING AXLE-FR - FRONT,11312854,"AXLE GRP,FRONT,WESTRAC 4421947X",Front,2411312854Front,
245106 - TIP CYLINDER-RI - RIGHT,24,5106 - TIP CYLINDER-RI - RIGHT,10071796,"CYLINDER GRP,TILT,LH,24H,CAT 6058794",Right Hand,2410071796Right Hand,
244306 - STEERING PUMP-00 - (NONE),24,4306 - STEERING PUMP-00 - (NONE),11184491,"PUMP GRP,PISTON,CAT 4588651",,2411184491,
24,24,,11184643,"PUMP GRP,PISTON,IMPLEMENT,CAT 4588648",,2411184643,
245070 - PISTON PUMP-00 - (NONE),24,5070 - PISTON PUMP-00 - (NONE),11191604,"PUMP GRP,PISTON,HYD,CAT 4604904",,2411191604,
241256 - FUEL TRANSFER PUMP-00 - (NONE),24,1256 - FUEL TRANSFER PUMP-00 - (NONE),10506210,"PUMP GRP,REMAN,CAT 20R0967",,2410506210,
241290 - UNIT INJECTOR-00 - (NONE),24,1290 - UNIT INJECTOR-00 - (NONE),10833298,"INJECTOR,FUEL,CAT 30R0004",,2410833298,
241361 - WATER PUMP-00 - (NONE),24,1361 - WATER PUMP-00 - (NONE),10833309,"PUMP,WATER,REMAN,CAT 20R1859",,2410833309,
241405 - ALTERNATOR-00 - (NONE),24,1405 - ALTERNATOR-00 - (NONE),10883555,"ALTERNATOR,CHRG,REMAN,CAT 20R0053",,2410883555,
243030 - TRANSMISSION-00 - (NONE),24,3030 - TRANSMISSION-00 - (NONE),11318870,"TRANSMISSION,SX,WESTRAC 5004282X",,2411318870,
246153 - CIRCLE DRAWBAR-00 - (NONE),24,6153 - CIRCLE DRAWBAR-00 - (NONE),10718168,"DRAWBAR GROUP,CAT,4713007",,2410718168,
244251 - SERVICE BRAKE-LR - LEFT REAR,24,4251 - SERVICE BRAKE-LR - LEFT REAR,11315018,"BRAKE GRP,REAR,WESTRAC 4421909X",Rear LH,2411315018Rear LH,
244251 - SERVICE BRAKE-RR - RIGHT REAR,24,4251 - SERVICE BRAKE-RR - RIGHT REAR,11315018,"BRAKE GRP,REAR,WESTRAC 4421909X",Rear RH,2411315018Rear RH,
244251 - SERVICE BRAKE-LF - LEFT FRONT,24,4251 - SERVICE BRAKE-LF - LEFT FRONT,11315050,"BRAKE GRP,FRONT,24M,WESTRAC 4421908X",Front LH,2411315050Front LH,
244251 - SERVICE BRAKE-RF - RIGHT FRONT,24,4251 - SERVICE BRAKE-RF - RIGHT FRONT,11315050,"BRAKE GRP,FRONT,24M,WESTRAC 4421908X",Front RH,2411315050Front RH,
243101 - TORQUE CONVERTER-00 - (NONE),24,3101 - TORQUE CONVERTER-00 - (NONE),11318871,"TORQUE,CONVERTOR,SX,WESTRAC 4532043X",,2411318871,
24M1052 - TURBOCHARGER-00 - (NONE),24M,1052 - TURBOCHARGER-00 - (NONE),11072463,"TURBO GRP,BASIC,CAT 20R5216",,24M11072463,
3900,3900,,11175015,"BRAKE,DRV,SX,WESTRAC HM19588X",,390011175015,
3900G4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,3900G,4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,10682013,"WHEEL GRP,CAT 2610649",Left Front,3900G10682013Left Front,
3900G4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,3900G,4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,10682013,"WHEEL GRP,CAT 2610649",Right Front,3900G10682013Right Front,
3900G1000 - ENGINE-00 - (NONE),3900G,1000 - ENGINE-00 - (NONE),10738268,"ENGINE ARRANGEMENT,REMAN,CAT 20R0428",,3900G10738268,
3900G3101 - TORQUE CONVERTER-00 - (NONE),3900G,3101 - TORQUE CONVERTER-00 - (NONE),10782783,"TORQUE CONVERTER,REMAN,CAT 10R8433",,3900G10782783,
3900G5073 - GEAR PUMP-00 - (NONE),3900G,5073 - GEAR PUMP-00 - (NONE),10782793,"PUMP GRP,GEAR,REMAN,CAT 10R7980",,3900G10782793,
3900G3030 - TRANSMISSION-00 - (NONE),3900G,3030 - TRANSMISSION-00 - (NONE),10863956,"TRANSMISSION & SUPPORT,CAT HM05505",,3900G10863956,
3900G1353 - RADIATOR-00 - (NONE),3900G,1353 - RADIATOR-00 - (NONE),11148494,"RADIATOR GRP,MODULE,FAN,HAULAUST HM03010",,3900G11148494,
3900G1290 - UNIT INJECTOR-00 - (NONE),3900G,1290 - UNIT INJECTOR-00 - (NONE),10833298,"INJECTOR,FUEL,CAT 30R0004",,3900G10833298,
3900G1453 - ELECTRIC STARTING MOTOR-00 - (NONE),3900G,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10874537,"MOTOR GRP,ELEC,REMAN,CAT 10R9815",,3900G10874537,
3900G1405 - ALTERNATOR-00 - (NONE),3900G,1405 - ALTERNATOR-00 - (NONE),10883833,"ALTERNATOR,REMAN,CAT 10R9095",,3900G10883833,
3900G1361 - WATER PUMP-00 - (NONE),3900G,1361 - WATER PUMP-00 - (NONE),10911695,"PUMP,WATER,REMAN,CAT 0R4680",,3900G10911695,
3900G1052 - TURBOCHARGER-00 - (NONE),3900G,1052 - TURBOCHARGER-00 - (NONE),11007358,"TURBOCHARGER,REMAN,CAT 10R2038",,3900G11007358,
3900G1052 - TURBOCHARGER-00 - (NONE),3900G,1052 - TURBOCHARGER-00 - (NONE),11174959,"TURBOCHARGER,CAT 20R0915",,3900G11174959,
785B5073 - GEAR PUMP-00 - (NONE),785B,5073 - GEAR PUMP-00 - (NONE),10013301,"PUMP,TRANSMISSION,SCAVENGE,CAT 6T6147",,785B10013301,
18,18,,10001024,"O-RING,HYD TANK,CAP,CAT 9H6454",,1810001024,
785CWC5073 - GEAR PUMP-00 - (NONE),785CWC,5073 - GEAR PUMP-00 - (NONE),10883582,"PUMP GRP,REMAN,CAT 10R7971",,785CWC10883582,
785CWC1451 - AIR STARTING MOTOR-00 - (NONE),785CWC,1451 - AIR STARTING MOTOR-00 - (NONE),10701122,"MOTOR GRP,AIR STG,REMAN,CAT 10R9656",,785CWC10701122,
785CWC1361 - WATER PUMP-00 - (NONE),785CWC,1361 - WATER PUMP-00 - (NONE),10868184,"PUMP GRP,WATER,REMAN,CAT,10R1669",,785CWC10868184,
785CWC1405 - ALTERNATOR-00 - (NONE),785CWC,1405 - ALTERNATOR-00 - (NONE),10880525,"ALTERNATOR GRP,REMAN,CAT 10R8755",,785CWC10880525,
785CWC1256 - FUEL TRANSFER PUMP-00 - (NONE),785CWC,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883497,"PUMP GRP,FUEL TRANSFER,REMAN,CAT 10R9838",,785CWC10883497,
785CWC1361 - WATER PUMP-00 - (NONE),785CWC,1361 - WATER PUMP-00 - (NONE),10883500,"PUMP GRP,WATER,REMAN,CAT,20R8812",,785CWC10883500,
785CWC1290 - UNIT INJECTOR-00 - (NONE),785CWC,1290 - UNIT INJECTOR-00 - (NONE),10883558,"INJECTOR GRP,FUEL,REMAN,CAT 20R0849",,785CWC10883558,
